mu,seed,cell_id,n,k
0.2,80,11,205,171
0.2,81,0,821,566
0.2,81,1,224,99
0.2,81,2,798,682
0.2,81,3,213,122
0.2,81,4,807,774
0.2,81,5,221,159
0.2,81,6,756,452
0.2,81,7,192,94
0.2,81,8,761,587
0.2,81,9,214,132
0.2,81,10,790,720
0.2,81,11,203,167
0.2,82,0,764,512
0.2,82,1,193,77
0.2,82,2,807,666
0.2,82,3,213,135
0.2,82,4,818,798
0.2,82,5,192,143
0.2,82,6,772,486
0.2,82,7,217,115
0.2,82,8,803,607
0.2,82,9,207,131
0.2,82,10,821,746
0.2,82,11,193,159
0.2,83,0,821,552
0.2,83,1,174,74
0.2,83,2,812,652
0.2,83,3,220,125
0.2,83,4,790,763
0.2,83,5,204,155
0.2,83,6,822,502
0.2,83,7,207,96
0.2,83,8,779,604
0.2,83,9,193,111
0.2,83,10,768,694
0.2,83,11,210,170
0.2,84,0,778,513
0.2,84,1,177,61
0.2,84,2,783,633
0.2,84,3,201,118
0.2,84,4,826,797
0.2,84,5,197,134
0.2,84,6,806,516
0.2,84,7,196,93
0.2,84,8,824,612
0.2,84,9,195,117
0.2,84,10,814,733
0.2,84,11,203,163
0.2,85,0,778,539
0.2,85,1,207,106
0.2,85,2,784,629
0.2,85,3,195,112
0.2,85,4,790,766
0.2,85,5,180,133
0.2,85,6,748,457
0.2,85,7,222,112
0.2,85,8,841,643
0.2,85,9,211,133
0.2,85,10,835,763
0.2,85,11,209,160
0.2,86,0,837,546
0.2,86,1,214,86
0.2,86,2,777,631
0.2,86,3,240,138
0.2,86,4,797,774
0.2,86,5,194,151
0.2,86,6,789,487
0.2,86,7,224,107
0.2,86,8,785,602
0.2,86,9,179,101
0.2,86,10,762,693
0.2,86,11,202,162
0.2,87,0,801,533
0.2,87,1,194,79
0.2,87,2,822,677
0.2,87,3,208,132
0.2,87,4,750,736
0.2,87,5,201,145
0.2,87,6,832,490
0.2,87,7,191,100
0.2,87,8,794,602
0.2,87,9,194,119
0.2,87,10,806,741
0.2,87,11,207,161
0.2,88,0,778,512
0.2,88,1,179,70
0.2,88,2,803,662
0.2,88,3,208,121
0.2,88,4,797,775
0.2,88,5,221,153
0.2,88,6,815,500
0.2,88,7,223,105
0.2,88,8,770,602
0.2,88,9,179,120
0.2,88,10,835,761
0.2,88,11,192,154
0.2,89,0,802,541
0.2,89,1,191,73
0.2,89,2,793,647
0.2,89,3,208,125
0.2,89,4,788,770
0.2,89,5,222,158
0.2,89,6,837,483
0.2,89,7,191,95
0.2,89,8,790,596
0.2,89,9,191,136
0.2,89,10,786,717
0.2,89,11,201,161
0.2,90,0,791,536
0.2,90,1,211,83
0.2,90,2,844,695
0.2,90,3,214,110
0.2,90,4,754,737
0.2,90,5,203,151
0.2,90,6,829,529
0.2,90,7,205,98
0.2,90,8,811,605
0.2,90,9,192,124
0.2,90,10,757,668
0.2,90,11,189,150
0.2,91,0,772,506
0.2,91,1,209,85
0.2,91,2,776,639
0.2,91,3,203,118
0.2,91,4,778,754
0.2,91,5,223,163
0.2,91,6,838,508
0.2,91,7,204,94
0.2,91,8,838,608
0.2,91,9,203,137
0.2,91,10,762,700
0.2,91,11,194,155
0.2,92,0,841,594
0.2,92,1,204,84
0.2,92,2,750,617
0.2,92,3,201,106
0.2,92,4,845,806
0.2,92,5,198,142
0.2,92,6,802,501
0.2,92,7,197,91
0.2,92,8,804,608
0.2,92,9,203,138
0.2,92,10,760,691
0.2,92,11,195,151
0.2,93,0,862,547
0.2,93,1,205,93
0.2,93,2,835,675
0.2,93,3,227,126
0.2,93,4,745,720
0.2,93,5,221,163
0.2,93,6,750,443
0.2,93,7,200,88
0.2,93,8,822,616
0.2,93,9,176,118
0.2,93,10,779,704
0.2,93,11,178,140
0.2,94,0,776,496
0.2,94,1,190,88
0.2,94,2,816,676
0.2,94,3,200,126
0.2,94,4,775,745
0.2,94,5,202,138
0.2,94,6,829,503
0.2,94,7,211,104
0.2,94,8,825,626
0.2,94,9,195,121
0.2,94,10,765,688
0.2,94,11,216,161
0.2,95,0,792,530
0.2,95,1,199,75
0.2,95,2,806,658
0.2,95,3,187,105
0.2,95,4,786,763
0.2,95,5,199,152
0.2,95,6,790,505
0.2,95,7,197,107
0.2,95,8,840,630
0.2,95,9,215,137
0.2,95,10,810,740
0.2,95,11,179,147
0.2,96,0,815,546
0.2,96,1,203,96
0.2,96,2,753,595
0.2,96,3,225,130
0.2,96,4,794,773
0.2,96,5,194,133
0.2,96,6,851,516
0.2,96,7,209,101
0.2,96,8,787,605
